DATA,ANO,MÊS,PERIODO,PIS/PASEP,COFINS,ICMS,DEMANDA_CONTRATADA_P,DEMANDA_CONTRATADA_FP,DEMANDA_REGISTRADA_P,DEMANDA_REGISTRADA_FP,DEMANDA_ISENTA_P,DEMANDA_ISENTA_FP,TAR_TUSD_KW_FP,ENERGIA_PONTA,ENERGIA_FPONTA,TAR_TE_KWH_P,TAR_TE_KWH_FP,REAT_KVAR_FPONTA,TAR_REAT_FPONTA,Valor da Fatura,Consumo Total,Retenção  de Tributos Federais
2014-07-04,2014,Julho,30,0.0016,0.0070999999999999995,0.27,139,139,40.0,81.0,0,0.0,7.44,792,10180,0.94676,0.25433,12.0,0.24735,4122.12,10972,256.13
2014-10-03,2014,Outubro,30,0.00115,0.0075,0.27,139,139,65.0,123.0,0,0.0,8.51,1562,18783,1.08238,0.29076,13.0,0.28278,7850.76,20345,487.81
2014-11-05,2014,Novembro,33,0.0036,0.0409,0.27,139,139,77.0,133.0,0,0.0,7.74,1748,21323,0.98401,0.26434,18.0,0.25708,7943.47,23071,493.57
2014-12-05,2014,Dezembro,30,0.0018,0.0091,0.27,139,139,77.0,133.0,0,0.0,7.36,1393,16324,0.93657,0.25159,17.0,0.24469,6062.11,17717,376.67
2015-01-06,2015,Janeiro,32,0.0042,0.019299999999999998,0.27,139,139,36.0,118.0,0,0.0,7.32,1359,17178,0.93853,0.25783,6.0,0.25097,6353.95,18537,394.8
2015-02-04,2015,Fevereiro,29,0.0106,0.0481,0.27,139,139,29.0,81.0,0,0.0,7.57,835,14349,1.00562,0.30165,10.0,0.25147,5858.77,15184,364.03
2015-03-04,2015,Março,28,0.012,0.0091,0.27,139,139,74.0,121.0,0,0.0,7.98,1236,17206,1.0668,0.3245,14.0,0.26647,7550.19,18442,469.13
2015-04-06,2015,Abril,33,0.0042,0.019299999999999998,0.27,139,139,75.0,139.0,0,0.0,8.29,1897,22941,1.16791,0.39189,15.0,0.28929,11643.2,24838,723.45
2015-05-06,2015,Maio,30,0.0027,0.0481,0.27,139,139,85.0,148.0,0,0.0,11.4,2015,23056,1.42529,0.43331,70.0,0.3234,13920.44,25071,864.94
2015-06-03,2015,Junho,28,0.0165,0.0553,0.27,139,139,75.0,156.0,0,0.0,13.44,2048,21458,1.55184,0.43566,179.0,0.32771,14253.35,23506,885.63
2015-07-03,2015,Julho,30,0.011200000000000002,0.019799999999999998,0.27,139,139,81.0,145.0,0,0.0,13.73,2119,20288,1.58453,0.44484,227.0,0.33461,13604.03,22407,845.29
2015-08-05,2015,Agosto,33,0.0043,0.0183,0.27,139,139,34.0,131.0,0,0.0,13.52,994,13883,1.56121,0.43829,281.0,0.32968,9046.44,14877,562.1
2015-09-03,2015,Setembro,29,0.004,0.0541,0.27,139,139,53.0,117.0,0,0.0,13.53,1417,17483,1.56037,0.43696,224.0,0.32983,11114.37,18900,690.59
2015-10-05,2015,Outubro,32,0.0118,0.0634,0.27,139,139,77.0,142.0,0,0.0,13.6,1603,18706,1.55496,0.4259,223.0,0.33149,11735.42,20309,729.18
2015-11-07,2015,Novembro,33,0.0137,0.0443,0.27,139,139,95.0,156.0,0,0.0,13.52,2033,23690,1.54604,0.42345,797.0,0.32959,15094.25,25723,937.88
2015-12-08,2015,Dezembro,31,0.0053,0.031200000000000002,0.27,139,139,87.0,165.0,0,0.0,13.12,2330,26732,1.49991,0.41082,1067.0,0.31975,16681.36,29062,1036.49
2016-01-06,2016,Janeiro,29,0.0095,0.0241,0.27,139,139,89.0,134.0,0,0.0,13.58,1375,16182,1.55266,0.42527,1201.0,0.331,10698.88,17557,664.77
2016-02-03,2016,Fevereiro,28,0.0086,0.0437,0.27,139,139,57.0,110.0,0,0.0,13.46,1468,16802,1.53711,0.4193,1633.0,0.32819,11128.82,18270,691.49
2016-03-07,2016,Março,33,0.0097,0.0393,0.27,139,139,42.0,93.0,0,0.0,13.26,1094,17025,1.49013,0.38909,1560.0,0.32326,10060.18,18119,625.09
